date,time,item,quantity,price,total,payment_method
2026-01-01,07:00,Blueberry Muffin,1,2.75,2.75,cash
2026-01-01,07:00,Iced Mocha,2,4.5,9.0,card
2026-01-01,07:00,Iced Spanish Latte,1,4.75,4.75,card
2026-01-01,07:00,Americano,1,2.5,2.5,card
2026-01-01,07:00,Iced Americano,2,3.0,3.0,cash
2026-01-01,07:00,Mocha,2,4.0,8.0,card
2026-01-01,07:00,Espresso,4,2.0,4.0,cash
2026-01-01,08:00,Donut,6,2.25,9.0,cash
2026-01-01,08:00,Iced Spanish Latte,2,4.75,9.5,cash
2026-01-01,08:00,Latte,3,3.75,7.5,card
2026-01-01,08:00,Cappuccino,2,3.5,7.0,cash
2026-01-01,08:00,Iced Americano,2,3.0,3.0,card
2026-01-01,08:00,Iced Americano,4,3.0,9.0,cash
2026-01-01,08:00,Latte,4,3.75,11.25,card
2026-01-01,09:00,Cheesecake Slice,2,3.75,7.5,card
2026-01-01,09:00,Frappuccino,1,5.0,5.0,cash
2026-01-01,09:00,Cold Brew,4,3.75,15.0,card
2026-01-01,09:00,Iced Latte,2,4.0,8.0,cash
2026-01-01,09:00,Espresso,3,2.0,2.0,card
2026-01-01,09:00,Croissant,1,2.5,2.5,card
2026-01-01,09:00,Brownie,1,3.0,3.0,card
2026-01-01,09:00,Iced Latte,2,4.0,8.0,card
2026-01-01,09:00,Brownie,1,3.0,3.0,card
2026-01-01,09:00,Latte,4,3.75,11.25,card
2026-01-01,09:00,Chocolate Cake,1,3.5,3.5,cash
2026-01-01,09:00,Cappuccino,1,3.5,3.5,cash
2026-01-01,09:00,Iced Spanish Latte,2,4.75,9.5,card
2026-01-01,09:00,Mocha,2,4.0,8.0,card
2026-01-01,10:00,Mocha,3,4.0,12.0,cash
2026-01-01,10:00,Espresso,3,2.0,2.0,cash
2026-01-01,10:00,Latte,3,3.75,7.5,card
2026-01-01,11:00,Frappuccino,1,5.0,5.0,card
2026-01-01,11:00,Iced Latte,1,4.0,4.0,cash
2026-01-01,11:00,Donut,4,2.25,4.5,card
2026-01-01,11:00,Croissant,1,2.5,2.5,card
2026-01-01,11:00,Brownie,1,3.0,3.0,cash
2026-01-01,11:00,Chocolate Cake,2,3.5,7.0,cash
2026-01-01,11:00,Brownie,1,3.0,3.0,cash
2026-01-01,11:00,Chocolate Cake,4,3.5,14.0,card
2026-01-01,11:00,Iced Spanish Latte,1,4.75,4.75,cash
2026-01-01,11:00,Cappuccino,2,3.5,7.0,cash
2026-01-01,11:00,Latte,2,3.75,3.75,card
2026-01-01,11:00,Brownie,3,3.0,9.0,card
2026-01-01,11:00,Latte,5,3.75,15.0,cash
2026-01-01,12:00,Latte,2,3.75,3.75,cash
2026-01-01,12:00,Donut,7,2.25,11.25,card
2026-01-01,12:00,Cheesecake Slice,3,3.75,11.25,cash
2026-01-01,12:00,Iced Americano,3,3.0,6.0,card
2026-01-01,12:00,Cold Brew,5,3.75,18.75,cash
